Realm,EEZ
Western Indo-Pacific,Myanmar
Western Indo-Pacific,Oman
Western Indo-Pacific,Oman (Musandam)
Western Indo-Pacific,Pakistan
Western Indo-Pacific,Qatar
Western Indo-Pacific,Réunion (France)
Western Indo-Pacific,Saudi Arabia (Persian Gulf)
Western Indo-Pacific,Saudi Arabia (Red Sea)
Western Indo-Pacific,Seychelles
Western Indo-Pacific,Somalia
Western Indo-Pacific,South Africa (Indian Ocean Coast)
Western Indo-Pacific,Sri Lanka
Western Indo-Pacific,Sudan
Western Indo-Pacific,Tanzania
Western Indo-Pacific,Thailand (Andaman Sea)
Western Indo-Pacific,Tromelin Isl. (France)
Western Indo-Pacific,United Arab Emirates
Western Indo-Pacific,United Arab Emirates (Fujairah)
Western Indo-Pacific,Yemen (Arabian Sea)
Western Indo-Pacific,Yemen (Red Sea)
